timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T07:04:46.946083+00:00,0.009265,0.00926857,-3.569999999999615e-06,-0.00038517268575407156,5e-05,125357957.0,2.2637,2.3069,2.0971,1.9492
2026-01-17T07:12:05.726168+00:00,0.00925343,0.00925055,2.8800000000002435e-06,0.000311332839669019,5e-05,125246905.0,2.2744,2.3289,2.0926,0.7397
2026-01-17T07:19:08.945097+00:00,0.00927551,0.00927543,8.000000000125962e-08,8.624937065048157e-06,5e-05,125293350.0,2.2744,2.3234,2.0902,4.3852
