timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T07:01:39.718956+00:00,0.01307283,0.01309172,-1.8889999999998838e-05,-0.001442896731674588,5e-05,75833329.0,3.7461,4.152,1.5624,0.3042
2026-01-17T07:09:14.588703+00:00,0.01303,0.01304259,-1.2589999999999824e-05,-0.0009652990702000004,5e-05,75754071.0,3.7551,4.1626,1.5716,0.8555
2026-01-17T07:16:17.874477+00:00,0.01309595,0.01310713,-1.1179999999999524e-05,-0.0008529708639495849,5e-05,75849110.0,3.7824,4.176,1.5714,0.421
