timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T07:02:01.272858+00:00,0.02553501,0.02558723,-5.2219999999998656e-05,-0.002040861789259668,5e-05,41458619.0,3.0241,3.5455,1.6887,0.3948
2026-01-17T07:09:32.878469+00:00,0.02547454,0.02549858,-2.403999999999948e-05,-0.0009427975989250961,5e-05,41281619.0,3.042,3.562,1.6912,0.1395
2026-01-17T07:16:36.674239+00:00,0.02560561,0.02560538,2.300000000003688e-07,8.982487274173193e-06,5e-05,41284652.0,3.0404,3.5708,1.6934,0.4798
