timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T06:59:21.833455+00:00,5.68,5.690164,-0.010164000000000506,-0.0017862402559927105,-0.00022918,682258.0,1.0296,1.067,1.283,1.6268
2026-01-17T07:07:03.768958+00:00,5.6795,5.68978,-0.010279999999999845,-0.0018067482398264687,-0.00025652,682152.8,1.0231,1.0408,1.2826,13.1162
2026-01-17T07:14:09.490755+00:00,5.681,5.69028,-0.00927999999999951,-0.0016308512059159674,-0.00027792,681583.1,1.0117,1.0387,1.2825,0.1916
2026-01-17T07:21:12.019196+00:00,5.6835032,5.69028,-0.006776799999999916,-0.0011909431521823033,-0.0002862,681590.0,1.006,1.0296,1.2823,3.7262
