timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T07:01:11.043806+00:00,1.656e-05,1.648e-05,7.999999999999923e-08,0.004854368932038788,0.00081504,115758849073.0,3.7416,3.4228,1.4412,0.1051
2026-01-17T07:08:46.653086+00:00,1.65e-05,1.645e-05,5.0000000000001215e-08,0.003039513677811624,0.00081241,115778747785.0,3.7461,3.4346,1.4466,1.8716
2026-01-17T07:15:49.929117+00:00,1.646e-05,1.643e-05,3.000000000000141e-08,0.0018259281801583328,0.00085642,115265554655.0,3.7371,3.4385,1.4648,0.2571
