timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T06:56:20.944707+00:00,0.22514,0.2253012,-0.00016120000000000023,-0.0007154866463205709,0.0001,150748177.0,1.0859,1.2306,1.1867,2.8145
2026-01-17T06:57:27.228169+00:00,0.22518,0.22529092,-0.00011092000000001434,-0.0004923411915580722,0.0001,150763699.0,1.0859,1.2306,1.1867,2.8145
2026-01-17T06:59:42.304453+00:00,0.22503,0.22520397,-0.00017396999999999552,-0.0007724997032689766,0.0001,150729104.0,1.0842,1.2306,1.1867,2.8145
2026-01-17T07:00:06.900921+00:00,0.22497238,0.22511878,-0.00014639999999999098,-0.000650323353742371,0.0001,150727693.0,1.0842,1.2306,1.1867,2.8145
2026-01-17T07:05:12.333763+00:00,0.22470101,0.22479194,-9.092999999998908e-05,-0.0004045073858074675,0.0001,150733238.0,1.0851,1.2267,1.1863,1.8614
2026-01-17T07:12:26.342630+00:00,0.22467222,0.22477889,-0.00010667000000000315,-0.0004745552395956896,0.0001,150678957.0,1.0829,1.2287,1.1854,1.5464
2026-01-17T07:19:29.155227+00:00,0.22490881,0.22498807,-7.926000000002542e-05,-0.0003522853456186607,0.0001,150725384.0,1.0816,1.2277,1.185,1.7644
