timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T06:59:51.344480+00:00,0.0445715,0.044655,-8.350000000000024e-05,-0.00186989138954205,-3.524e-05,107634148.0,1.0803,1.1084,1.5109,1.9733
2026-01-17T07:07:32.099014+00:00,0.044542,0.0446025,-6.0500000000004994e-05,-0.001356426209293313,-4.605e-05,107748313.0,1.0907,1.1254,1.5187,0.1747
2026-01-17T07:14:38.759581+00:00,0.04456,0.0446125,-5.2499999999996994e-05,-0.0011768002241523564,-4.597e-05,107771326.0,1.0864,1.1263,1.5202,2.4984
2026-01-17T07:21:40.705431+00:00,0.04456,0.04459,-2.9999999999995308e-05,-0.0006727965911638329,-4.771e-05,107861827.0,1.0877,1.1272,1.5197,0.3549
