timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T07:01:59.577183+00:00,0.09731189,0.09731071,1.1800000000034006e-06,1.212610616039489e-05,5e-05,10339247.0,4.7937,5.8213,2.2357,5.546
2026-01-17T07:09:31.441379+00:00,0.09703438,0.09703336,1.0200000000043508e-06,1.0511848708571473e-05,5e-05,10342611.0,4.8072,5.7843,2.2336,0.3445
2026-01-17T07:16:34.784926+00:00,0.09776369,0.0977628,8.900000000033881e-07,9.103667243607877e-06,5e-05,10336479.0,4.7504,5.7249,2.2362,7.4387
