timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T06:56:20.090872+00:00,13.72129122,13.72607245,-0.004781230000000747,-0.00034833198042756553,7.678e-05,8222115.58,2.2798,2.7807,2.4748,0.6271
2026-01-17T06:57:26.497795+00:00,13.72050246,13.72643698,-0.005934520000000276,-0.000432342348465747,7.678e-05,8221639.99,2.2798,2.7807,2.4771,1.4994
2026-01-17T06:59:41.427901+00:00,13.71810084,13.72207785,-0.0039770099999998365,-0.00028982564036392173,7.596e-05,8222260.57,2.2798,2.7807,2.4771,1.4994
2026-01-17T07:00:06.233017+00:00,13.71871297,13.72629874,-0.00758577000000038,-0.000552644973250843,7.615e-05,8222102.32,2.2798,2.7807,2.4771,1.4994
2026-01-17T07:05:11.552318+00:00,13.695,13.69991326,-0.0049132600000003634,-0.00035863438744139633,7.427e-05,8221815.72,2.2744,2.7793,2.4738,1.932
2026-01-17T07:12:25.591194+00:00,13.69439214,13.70079224,-0.006400100000000464,-0.00046713357066426574,7.518e-05,8219374.51,2.2776,2.7793,2.4747,0.5618
2026-01-17T07:19:28.204540+00:00,13.691,13.6979999,-0.0069998999999985045,-0.0005110162104759911,7.655e-05,8221519.76,2.269,2.7722,2.4773,1.6432
