timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T07:00:06.432254+00:00,0.38454742,0.38487742,-0.0003300000000000525,-0.0008574158494412389,5e-05,79997501.1,1.2696,1.4143,1.5712,0.5255
2026-01-17T07:07:45.413402+00:00,0.3838,0.3839,-0.0001000000000000445,-0.00026048450117229616,5e-05,80045048.8,1.2696,1.4131,1.5573,0.8203
2026-01-17T07:14:51.590213+00:00,0.38427355,0.38407419,0.00019936000000003729,0.000519066381419791,5e-05,80103668.6,1.2676,1.4108,1.5565,0.7791
2026-01-17T07:21:55.863510+00:00,0.38425,0.38414839,0.00010160999999997422,0.0002645071608915873,5e-05,80103426.3,1.266,1.412,1.5526,0.363
