timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T07:03:26.055571+00:00,0.6689,0.67175165,-0.0028516499999999834,-0.004245095639139827,-0.0002884,2707229.0,4.3533,4.2966,1.5998,1.4959
2026-01-17T07:10:53.398255+00:00,0.66887471,0.67169445,-0.0028197400000000705,-0.004197950422249388,-0.00028342,2706987.0,4.2854,4.1975,1.6008,0.0821
2026-01-17T07:17:54.606249+00:00,0.6709,0.67333216,-0.0024321599999999055,-0.003612125106277273,-0.00028042,2707385.0,4.2882,4.2219,1.6011,6.9091
