timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T07:02:56.666586+00:00,0.17813152,0.17813636,-4.840000000005951e-06,-2.7170197033362257e-05,5e-05,3625015.0,2.2248,2.0404,0.7229,0.5823
2026-01-17T07:10:25.787982+00:00,0.17790167,0.17791818,-1.650999999999736e-05,-9.279546362264587e-05,5e-05,3624535.0,2.2196,2.0469,0.7229,0.4756
2026-01-17T07:17:27.541447+00:00,0.177885,0.1779,-1.5000000000015001e-05,-8.43170320405565e-05,5e-05,3623948.0,2.2248,2.0469,0.7228,0.8684
