timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T07:04:54.398037+00:00,0.12822,0.12807765,0.0001423500000000133,0.0011114351332961942,0.0001319,28033091.0,2.1959,2.3727,1.251,1.5735
2026-01-17T07:12:11.830776+00:00,0.12929897,0.12885859,0.000440380000000018,0.003417544767485179,0.00014171,28032496.0,2.1746,2.367,1.2508,1.7997
2026-01-17T07:19:14.845790+00:00,0.12949,0.12905809,0.00043191000000000757,0.0033466325125376304,0.00015288,28056691.0,2.1616,2.3278,1.2487,1.3304
