timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T07:02:09.905725+00:00,0.07471229,0.07490129,-0.00018899999999999473,-0.0025233210269141526,5e-05,25304872.2,1.4697,1.8596,1.7735,0.3424
2026-01-17T07:09:40.848651+00:00,0.07463255,0.07466739,-3.483999999999432e-05,-0.0004666026226441599,5e-05,25180031.6,1.495,1.8868,1.777,0.224
2026-01-17T07:16:44.806036+00:00,0.07531607,0.07531539,6.800000000029005e-07,9.028699180909779e-06,5e-05,25274932.9,1.4938,1.8843,1.7799,2.1796
