timestamp,mark_price,index_price,basis,basis_percent,last_funding_rate,oi,long_short_account_ratio,top_trader_account_ls_ratio,top_trader_position_ls_ratio,taker_buy_sell_ratio
2026-01-17T07:00:59.220791+00:00,0.1817,0.18185598,-0.00015598,-0.0008577116903167001,5e-05,13566506.0,1.3403,1.4091,1.1734,7.8495
2026-01-17T07:08:35.337017+00:00,0.1817195,0.18184102,-0.00012151999999998608,-0.0006682760578442977,5e-05,13526465.0,1.3337,1.401,1.174,1.3395
2026-01-17T07:15:39.025855+00:00,0.1822,0.18231517,-0.00011516999999999777,-0.0006317082665145077,5e-05,13486772.0,1.3277,1.3883,1.1784,4.799
